label,0,1,2,3,4,5,6,7,8,9,rank_percentage
IT Teacher (full time),Financier,Information Security Responsible,Head of Cards Issuance and MainA_PHONENUMBERance Unit,Customs Clearance Specialist,Junior Accountant,Pre Seller,Supplied Services Agent,Journalist,Contact Center Project Manager Head,.NET C# Developer,0.8875770832235281
"Marketing Specialist, Commodity Export","Deputy Chief of State Service of Food Safety, SNCOs and",Art Director Show Manager,"Lawyer, Administrative Legal and Litigation Practice Unit, LegalService",Designer,Non Cash Operations Department Specialist,Web Engineer,Senior Democratization Assistant,Accountant,Senior R&D Engineer I SG,Export Manager,0.8584304010962948
"Assistant to Director, Translator Interpreter",Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.18099404416802825
IT Specialist (full time),Advocacy Specialist,Branch Manager,Finance Manager,Business Advisor Non Farm Rural Enterprises,Web Developer,Web Developer Designer,Java Developer,Sales Floor Manager,"Leading Specialist, Financial Market Operations Department",Sales Manager,0.24708796711115796
NGO Training on the Framework Convention for the Protection of,Information Service Specialist,Civil Engineer Roads,Software Architect Lead Developer,Technical Manager,Advocacy Specialist,Accountant,GUI Developer,National Transport Engineer,Reporting Analyst,Executive Assistant Office Manager,0.8551625994834765
Human Rights Award,Executive Assistant Office Manager,Sales Engineer,Store Manager Director,Junior Prfessional Associate,English Language Courses,Executive Director,Head of Loan Department,Program Accountant,Project Manager for Cross border Programs,QA Intern Contractor,0.3928213777473252
Accountant Financial Officer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Merchandiser,Promotion Manager,Financial Specialist Accountant,System Architectural Designer,"Leading Specialist, Financial Market Operations Department",0.9479787065830391
"Community Development, Capacity Building and Conflict",Senior Java Tester,Java Developer,UI UX Designer,Private Label Category Manager,PIU Interpreter Translator,Sales Engineer,Web Designer,Pharmaceutical Sales Representative,PIU Lawyer,Financial Manager,0.7161229115058241
Web Designer,Software Developer,IT Reporting System Administration Senior Specialist,Project Engineer,Pre Service Training Language and Cultural Facilitator (LCF),Loan Officer,Software Engineer in Vanadzor,Junior PHP Developer,Metsamor Branch Manager,Project Manager,"Card Service Unit Specialist, IT and Automation Division",0.20508090444315608
Global Supplementary Grant Program,Quality Assurance and Sanitation Specialist,UN Coordination Specialist,Senior Java Tester,Designer,Accountant,AutoCAD Designer,Sales Director,Accountant,Country Economist (NOB),Sales Consultant,0.935856216729036
Small Grants Pilot Projects on Human Rights Education,Project Coordinator for Promoting Equal Rights and Equal,Secretary,Real Estate Asset Management Division Head,Head of HR,Brand Manager,Tourism Specialist,Senior Database Engineer,Tax Administration Expert,Senior Software Engineer,Medical Representative,0.7261898487324092
Administrative and Programmatic Intern,Receptionist,Chief Legal Adviser,Software Developer Web Services,Database Developer,Quality Coordinator,Shop Sales Manager,Legal & Administrative Assistant,Design Engineer,PR Specialist,"Software Developer C#, C++, .Net",0.8930058504190165
Financial Manager,Local Marketing Manager,Fraud Manager,Accounting Finance Intern,GUI Developer,Service Engineer,Food and Beverage (F&B) Supervisor,Designer,Rural Credit Specialist,Information Security Responsible,Director of Technical Block,0.47715174194908555
Administrative and Programmatic Intern,PPP and Non fare Business Development Specialist,Call Center Operator,Designer,IT Expert for Anti Trafficking Project for Supporting the,Cashier,Supermarket Store Director,Head of Business Segment Marketing Division,Sales and Service Specialist,English Language Lecturer,Chief Procurement Officer,0.4814209666367997
Finance Assistant Accountant,Contractor Intern,AutoCAD Designer,Web Developer Designer,Business Advisor Non Farm Rural Enterprises,"Physical Security, Health and Safety Specialist",International M1y Transfer Specialist,Senior Developer Team Leader,Medical Representative,Accountant,"Deputy Chief of State Service of Food Safety, SNCOs and",0.04933326305802983
Engineer Supervisor for the Global Fund Project,HR Manager,Chief Accountant,Video and Audio Editor,Study of The United States Institutes,Partnership and Communication Manager,Planning Engineer,Branch Manager,Head of Construction,Operations Specialist,Marketing Manager,0.6690560269857165
Project Development Officer,Tester Quality Assurance Engineer,Internet Assessor,Medical Representative,Institutional Capacity Development Specialist,Senior PHP Developer,Food Safety Regulatory Reform Consultant,Non Cash Operations Department Specialist,Marketing Expert,Civil Society Program Director,Ne2rk Engineer,0.8595899436040689
Project Deputy Director,Software Developer,Methodology Group Senior Specialist,Treasurer,Economist Tax Analyst,Logistics Specialist,Recruitment Assistant,Controller,Financial Specialist,"Deputy Chief of State Service of Food Safety, SNCOs and",Commercial Customers Service Division Head,0.586728508933748
Sales & Marketing Specialist,Corporate Affairs Trainee,Installation Supervisor,IELTS Examiner,Online Marketing Developer,"Leading Specialist, Financial Market Operations Department",Internet Assessor,Construction and Implementation Project Manager,System Administrator,Product Manager,Financial Director,0.24144837400516522
Loan Promoter,Chief Financial Officer,Service Manager,Journalist,Contact Center Project Manager Head,VoIP Sales Manager,"Country Director, Armenia",Driver,Web Designer,Technical Support Specialist,Elementary Teacher,0.9811837874874823
Executive Assistant (part time),AutoCAD Designer,Senior Java Tester,Online Marketing Developer,State Investments Management Trainer,Brand Manager,Contractor Intern,Marketing Superviser,Driver,PHP Web Software Developer,Creative Manager,0.10119643704211248
Senior Database Administrator,Local Government Finance Technical Advisor,Internet Assessor,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,",Reporting Unit Specialist,Graphic Designer,Java Developer,AutoCAD Designer,Lawyer,Bilateral Diplomacy,0.8809887735202656
International Banking and Financial Sector Expert,General Manager,Administrative Assistant Interpreter,Real Estate Asset Management Division Head,Senior Database Engineer,Educational Information Fair,Non Cash Operations Department Specialist,AutoCAD Designer,Project Coordinator for Promoting Equal Rights and Equal,Software Developer,Brand Manager,0.9103989880356296
Privatization Expert,Software Engineer,Food Chemist,Technical Specialist in Gyumri,Sales Consultant,Database Programmer,Office Administrator,System Administrator General Specialist,Marketing Manager,IT Administrator IT and Automation Division,Christian Commitments Officer,0.7728350814315079
Pensions and Social Insurance Expert,Monitoring Project Officer,Corporate Affairs Trainee,Chemical Engineer,Assistant to Chief Accountant,Software Test Engineer,Senior Circuit Design Engineer,Sales Manager Preseller,Web Designer,Secretary on Disability Issues,Designer,0.6626785431929584
Country Director,GUI Developer,Head of Branch Ne2rk Sales Promotion Division,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,Chief Manager,Leading Credit Analyst,MA in Journalism,Retail Merchandiser,Sales Manager,Merchandiser,IT Systems Administrator,0.15590576081800453
Leather and Textile Industry Expert,Web Designer,Market Developer,Assistant to Managing Director,Salesmen Trade Agents,Administrative Assistant,Future Leader's Exchange Program,Workforce Development Specialist,Market and Marketing Specialist,Food & Beverage Supervisor,Rural Development Manager,0.8514731460496495
Armenian Language & Cross Cultural Facilitator (LCF) (short,Administrative Permits and Negotiation Specialist,Technical Support Operator,Information Security Responsible,Translator Interpreter (AVET3),Industrial Graphic Designer,Financial Specialist,Head of Import Department,Senior Java Developer,4 Managers,Commercial Credit Relationship Manager,0.5137300374215991
Environmental Education (EE) Technical Coordinator (short,Non Cash Operations Department Specialist,Medical Representative,Customer Care Representative,Head of Retail Sales Unit,Educational Information Fair,"Deputy Chief of State Service of Food Safety, SNCOs and",Sales Manager,Marketing Superviser,Deputy Chief Engineer,Monitoring Project Officer,0.7892267959732251
BECD Technical Coordinator (short tirm) Pre Service,Packet Core Specialist,Executive Director,System Business Analyst,Senior Java Tester,QA Intern Contractor,Software Developer,Methodology Group Senior Specialist,Contractor Intern,Medical Representative,Senior .NET Software Engineer,0.6201444157486955
Community Health Education (CHE) Technical Coordinator,Web Engineer,Metsamor Branch Manager,Ne2rk Administrator,Pre Seller,Supplied Services Agent,CEO Assistant Receptionist,Blackberry RIM Developer,"Economist, Economic Research Department",Claims Administrator,Fundraising and Procurement Specialist,0.6175090918673904
TEFL Technical Coordinator (short tirm) Pre Service,Secretary Receptionist,Chief Accountant,Junior Accountant,Head of Strategy and Program Development,Branch Manager,Finance Manager,"Chief Executive Officer of ""North South Road Corridor Investment",Manager Quality Assurance Specialist,Technical Writer,Broadband Internet Consultant,0.17303536604648712
Intern,Project Coordinator for Promoting Equal Rights and Equal,Senior Software Engineer,Tourism Specialist,Loan Specialist,Project Engineer,Sales Development Specialist,HR Senior Specialist,Senior IT Support Manager,Medical Representative,Senior Database Engineer,0.5892057133821746
SalesMan Advisor,"Economist, Economic Research Department",Project Assistant,Public Relations Responsible,Assistant to the Chief,Medical Representative,Web Designer,Project Manager for Cross border Programs,Java Developer,Non Cash Operations Department Specialist,Factory Manager,0.7868550044800506
Sales Technical Adviser,Finance Associate,Business Advisor Non Farm Rural Enterprises,Creative Manager,QA Senior Software Test Developer,Junior Expert at NA Standing Committee on Economic Affairs,Energy Specialist,Junior Exploration Geologist,Medical Representative,Accountant,"Leading Specialist, Financial Market Operations Department",0.5465134665050335
Sales Clerk Referent,Contract Administrator,Project Manager,Web Engineer,Manager (Traffic Account),Sales Manager,Senior Manager of Support Services,Research and Development Engineer,Merchandiser,Product Manager,Marketing Methodology Developer,0.9524587571812576
Introduction to Community Development and Culture,Organizational Capacity Development Specialist,Senior C++ Engineer,Accountant,Entertainment & Sport Manager,Salesperson,Logistics Manager,Lionbridge Internet Assessor,Livelihoods Programme Officer,Senior .NET Developer,Optical Assistant,0.7511727191271808
Administrative Assistant,Community Participation Specialist,Web Developer,"Leading Specialist, Financial Market Operations Department",Credit Officer,Senior Corporate Application Engineer (CAE),Web Designer,System Architectural Designer,Manager Medical Representative,Commercial Director,Sales Manager,0.9544616033310493
Women PeaceMakers Program,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Creative Manager,Sales Director,Hotel Manager,Installation Supervisor,Head of Master's Program with National Research University,0.5266431244399937
